price;miles;year;make;model;body_type;fuel_type;transmission;doors;exterior_color;insurance_group;engine_size;co2_emission;make_label;model_label;exterior_color_label;fuel_type_label;transmission_label;body_type_label
3490;98873;2010;Nissan;Juke;Hatchback;Diesel;Manual;5;Blue;13;1.5;134;19;73;2;0;1;4
12990;72000;2013;BMW;1 Series;Hatchback;Petrol;Automatic;5;Blue;39;3.0;175;2;0;2;2;0;4
3195;85000;2012;Nissan;Note;MPV;Diesel;Manual;5;Blue;14;1.5;110;19;90;2;0;1;5
2695;72000;2012;Citroen;C1;Hatchback;Petrol;Manual;3;Black;3;1.0;103;4;28;1;2;1;4
4495;81000;2011;Volkswagen;Golf;Hatchback;Diesel;Manual;5;Silver;15;1.6;99;29;62;11;0;1;4
6495;47000;2015;Ford;EcoSport;Hatchback;Diesel;Manual;5;Blue;8;1.5;120;6;51;2;0;1;4
7295;53000;2014;Hyundai;ix35;Estate;Diesel;Manual;5;White;16;1.7;139;8;143;12;0;1;3
6950;76000;2013;Audi;A1;Hatchback;Diesel;Manual;3;Red;15;1.6;99;1;12;10;0;1;4
4495;79000;2013;Renault;Scenic;MPV;Diesel;Manual;5;Yellow;24;1.6;114;22;114;13;0;1;5
3995;65000;2013;Citroen;C4;Hatchback;Diesel;Manual;5;Blue;16;1.6;104;4;30;2;0;1;4
5995;61000;2018;Peugeot;208;Hatchback;Diesel;Manual;5;Blue;15;1.6;79;20;4;2;0;1;4
4295;88000;2010;Volkswagen;Golf;Hatchback;Diesel;Manual;5;Blue;15;1.6;119;29;62;2;0;1;4
3495;64000;2009;SEAT;Ibiza;Hatchback;Petrol;Manual;5;Grey;3;1.2;139;23;68;7;2;1;4
3995;70000;2011;Vauxhall;Astra;Hatchback;Diesel;Manual;5;Silver;13;1.7;119;28;20;11;0;1;4
7995;82000;2014;Honda;e;Estate;Diesel;Manual;5;Red;24;1.6;119;7;138;10;0;1;3
3295;61000;2014;Fiat;Panda;Hatchback;Petrol;Manual;5;White;3;1.2;120;5;94;12;2;1;4
2795;65000;2011;Nissan;Note;MPV;Petrol;Manual;5;Black;10;1.4;139;19;90;1;2;1;5
3995;85000;2009;Ford;Fiesta;Hatchback;Petrol;Automatic;5;Blue;8;1.4;154;6;54;2;2;0;4
2495;91000;2009;SEAT;Altea;Estate;Diesel;Manual;5;Grey;13;1.9;146;23;17;7;0;1;3
4495;73000;2011;Ford;Focus;Hatchback;Petrol;Manual;5;Silver;14;1.6;136;6;55;11;2;1;4
6950;88000;2013;Volkswagen;CC;Coupe;Diesel;Manual;4;Grey;23;2.0;120;29;32;7;0;1;2
3495;55000;2010;Ford;Focus;Hatchback;Petrol;Manual;5;Grey;10;1.6;159;6;55;7;2;1;4
1250;97000;2006;Suzuki;Ignis;Hatchback;Petrol;Manual;5;Blue;10;1.3;154;26;69;2;2;1;4
3495;91000;2012;SEAT;Leon;Hatchback;Diesel;Manual;5;Grey;15;1.6;99;23;77;7;0;1;4
2495;93000;2007;Nissan;Qashqai;Hatchback;Petrol;Manual;5;Black;15;1.6;162;19;100;1;2;1;4
3295;47000;2010;Vauxhall;Astra;Hatchback;Petrol;Manual;5;Silver;12;1.6;147;28;20;11;2;1;4
3795;68000;2015;Suzuki;Celerio;Hatchback;Petrol;Manual;5;White;7;1.0;99;26;37;12;2;1;4
2695;137000;2013;Citroen;DS3;Hatchback;Diesel;Manual;3;Grey;18;1.6;99;4;46;7;0;1;4
6495;36000;2016;Vauxhall;Corsa;Hatchback;Petrol;Manual;3;White;13;1.0;115;28;43;12;2;1;4
41950;36000;2017;Audi;RS5;Coupe;Petrol;Automatic;2;Grey;44;2.9;197;1;103;7;2;0;2
2995;110000;2011;SEAT;Altea;MPV;Diesel;Manual;5;Blue;13;1.6;119;23;17;2;0;1;5
1295;119000;2003;Toyota;Corolla;MPV;Diesel;Manual;5;Silver;13;2.0;164;27;42;11;0;1;5
4795;75000;2015;Renault;Scenic;MPV;Diesel;Manual;5;Blue;19;1.5;105;22;114;2;0;1;5
4995;63000;2015;Suzuki;Swift;Hatchback;Petrol;Manual;5;Red;11;1.2;116;26;121;10;2;1;4
5495;54000;2014;Citroen;DS3;Hatchback;Diesel;Manual;3;Purple;16;1.6;95;4;46;9;0;1;4
2695;74000;2012;Fiat;Panda;Hatchback;Petrol;Manual;5;Red;3;1.2;120;5;94;10;2;1;4
2995;79000;2009;SEAT;Ibiza;Hatchback;Petrol;Manual;3;Blue;12;1.6;157;23;68;2;2;1;4
5995;74000;2013;Kia;Carens;MPV;Diesel;Manual;5;Silver;12;1.7;124;11;36;11;0;1;5
3250;67000;2010;SEAT;Ibiza;Hatchback;Petrol;Manual;3;Black;8;1.4;149;23;68;1;2;1;4
4495;82000;2013;Ford;C-Max;MPV;Diesel;Manual;5;Silver;16;1.6;117;6;27;11;0;1;5
5295;84000;2014;Ford;C-Max;MPV;Diesel;Manual;5;White;16;1.6;124;6;27;12;0;1;5
9950;12000;2019;Fiat;500;Convertible;Petrol;Manual;2;Grey;11;1.2;114;5;9;7;2;1;1
7950;8000;2019;Renault;Twingo;Hatchback;Petrol;Manual;5;White;3;1.0;110;22;126;12;2;1;4
7490;66286;2013;Mini;Hatch;Hatchback;Diesel;Manual;3;Blue;11;2.0;114;17;66;2;0;1;4
3490;54989;2013;Vauxhall;Corsa;Hatchback;Diesel;Manual;5;Grey;4;1.2;112;28;43;7;0;1;4
2990;47296;2012;Fiat;Punto;Hatchback;Petrol;Manual;5;White;3;1.2;126;5;98;12;2;1;4
8890;59983;2014;Volkswagen;Golf;Hatchback;Diesel;Manual;5;Black;8;2.0;106;29;62;1;0;1;4
8490;39171;2015;Hyundai;ix35;Estate;Petrol;Manual;5;White;14;1.6;158;8;143;12;2;1;3
6990;39922;2014;Nissan;Juke;Hatchback;Diesel;Manual;5;Grey;8;1.5;109;19;73;7;0;1;4
3990;33866;2014;Mitsubishi;Mirage;Hatchback;Petrol;Manual;5;Green;8;1.2;100;18;87;6;2;1;4
5490;44293;2013;Hyundai;i40;Saloon;Diesel;Manual;4;Silver;6;1.7;113;8;142;11;0;1;8
8490;54794;2015;Ford;Mondeo;Hatchback;Diesel;Manual;5;Black;12;2.0;115;6;89;1;0;1;4
4490;66503;2014;SEAT;Ibiza;Hatchback;Petrol;Manual;3;Grey;6;1.4;139;23;68;7;2;1;4
6990;66286;2013;Mini;Hatch;Hatchback;Diesel;Manual;3;Blue;11;2.0;114;17;66;2;0;1;4
4290;56346;2012;SEAT;Ibiza;Hatchback;Petrol;Manual;5;Black;5;1.4;139;23;68;1;2;1;4
9650;63118;2014;Volkswagen;Tiguan;Estate;Diesel;Manual;5;Grey;9;2.0;150;29;124;7;0;1;3
5690;49125;2014;SEAT;Ibiza;Hatchback;Petrol;Manual;5;Green;6;1.4;139;23;68;6;2;1;4
25995;70000;2018;Volkswagen;Amarok;Pick UP;Diesel;Automatic;4;Silver;42;3.0;212;29;18;11;0;0;6
18495;52000;2017;Ford;Ranger;Pick UP;Diesel;Manual;4;White;41;3.2;218;6;108;12;0;1;6
6995;102000;2014;Nissan;Qashqai;Hatchback;Diesel;Manual;5;Blue;15;1.5;99;19;100;2;0;1;4
7975;81833;2013;Ford;Kuga;Hatchback;Diesel;Manual;5;Green;23;2.0;154;6;76;6;0;1;4
9475;64000;2015;Audi;A4;Saloon;Diesel;Manual;4;Blue;23;2.0;112;1;14;2;0;1;8
9500;55961;2011;Land Rover;Range Rover Evoque;4x4;Diesel;Manual;3;Black;34;2.2;149;12;106;1;0;1;0
13975;62574;2016;BMW;5 Series;Saloon;Diesel;Automatic;4;White;36;2.0;119;2;8;12;0;0;8
9495;110101;2015;Volkswagen;Passat;Estate;Diesel;Manual;5;White;19;2.0;110;29;95;12;0;1;3
7475;88849;2016;Skoda;Superb;Hatchback;Diesel;Manual;5;Grey;12;1.6;108;24;120;7;0;1;4
17975;49498;2017;Hyundai;Santa Fe;Estate;Diesel;Automatic;5;Red;28;2.2;174;8;113;10;0;0;3
13975;76225;2016;Jaguar;XF;Saloon;Diesel;Automatic;4;Bronze;28;2.0;129;9;135;3;0;0;8
7475;119440;2015;Volkswagen;Golf;Hatchback;Diesel;Manual;5;Grey;10;1.6;99;29;62;7;0;1;4
3450;69535;2012;Citroen;C3 Picasso;MPV;Diesel;Manual;5;Grey;10;1.6;119;4;29;7;0;1;5
34975;83500;2014;Land Rover;Range Rover;4x4;Diesel;Automatic;5;Grey;49;4.4;229;12;105;7;0;0;0
5475;91841;2012;Toyota;Avensis;Saloon;Diesel;Manual;4;Black;21;2.0;119;27;22;1;0;1;8
4475;93000;2014;Peugeot;208;Hatchback;Diesel;Manual;5;Grey;11;1.4;98;20;4;7;0;1;4
13475;74551;2014;BMW;X3;4x4;Diesel;Automatic;5;Grey;30;2.0;138;2;130;7;0;0;0
14975;32343;2016;Jaguar;XE;Saloon;Diesel;Automatic;4;Grey;27;2.0;111;9;134;7;0;0;8
6475;49076;2014;Ford;Fiesta;Hatchback;Diesel;Manual;3;Black;9;1.5;98;6;54;1;0;1;4
13950;89000;2017;Audi;A5;Hatchback;Diesel;Manual;5;Black;27;2.0;108;1;15;1;0;1;4
19250;69000;2017;BMW;5 Series;Saloon;Diesel;Automatic;4;Black;31;2.0;114;2;8;1;0;0;8
17995;65000;2018;BMW;4 Series;Coupe;Diesel;Automatic;4;Silver;31;2.0;114;2;7;11;0;0;2
9450;103000;2014;BMW;3 Series;Saloon;Diesel;Manual;4;Blue;32;2.0;120;2;5;2;0;1;8
4750;63000;2010;Fiat;500;Hatchback;Diesel;Manual;3;Black;15;1.2;104;5;9;1;0;1;4
13450;87000;2015;BMW;4 Series;Coupe;Diesel;Automatic;2;White;30;2.0;124;2;7;12;0;0;2
18750;26000;2019;Skoda;Superb;Hatchback;Diesel;Semi Auto;5;Blue;19;2.0;114;24;120;2;0;2;4
8995;33000;2010;Renault;Clio;Hatchback;Petrol;Manual;3;Black;30;2.0;195;22;39;1;2;1;4
8795;22867;2019;Vauxhall;Corsa;Hatchback;Petrol;Manual;5;Red;8;1.4;130;28;43;10;2;1;4
17950;23945;2019;Ford;Galaxy;MPV;Diesel;Manual;5;Blue;23;2.0;134;6;61;2;0;1;5
18995;26649;2020;Audi;Q2;Estate;Diesel;Manual;5;White;15;1.6;122;1;99;12;0;1;3
18995;21230;2019;Audi;Q2;Estate;Diesel;Manual;5;White;16;1.6;125;1;99;12;0;1;3
18995;28993;2019;Jaguar;XE;Saloon;Diesel;Automatic;4;Black;27;2.0;141;9;134;1;0;0;8
21995;18378;2019;SEAT;Tarraco;Estate;Diesel;Automatic;5;Silver;21;2.0;146;23;123;11;0;0;3
13995;18664;2019;Honda;Civic;Hatchback;Petrol;Manual;5;Red;15;1.0;110;7;38;10;2;1;4
6795;31412;2018;Hyundai;i10;Hatchback;Petrol;Manual;5;White;2;1.0;108;8;139;12;2;1;4
10495;51505;2017;Ford;Mondeo;Hatchback;Diesel;Manual;5;Grey;27;2.0;117;6;89;7;0;1;4
16995;39742;2018;Volkswagen;Tiguan;Estate;Diesel;Automatic;5;Green;15;2.0;147;29;124;6;0;0;3
10990;46814;2017;Audi;A3;Hatchback;Diesel;Manual;3;Black;18;1.6;99;1;13;1;0;1;4
16450;28136;2019;Ford;Kuga;Hatchback;Diesel;Manual;5;White;22;2.0;152;6;76;12;0;1;4
19990;27880;2019;SEAT;Tarraco;Estate;Diesel;Manual;5;White;19;2.0;129;23;123;12;0;1;3
17950;23049;2019;Ford;Galaxy;MPV;Diesel;Manual;5;Grey;23;2.0;134;6;61;7;0;1;5
